Rainfall,Year,Month
19.8581,1997,Dec
33.1015,1998,Jan
15.0346,1998,Feb
31.9248,1998,Mar
58.255,1998,Apr
117.516,1998,May
68.5114,1998,Jun
140.558,1998,Jul
167.616,1998,Aug
92.3118,1998,Sep
108.233,1998,Oct
14.9427,1998,Nov
1.37795,1998,Dec
8.24803,1999,Jan
3.66574,1999,Feb
44.3554,1999,Mar
38.1118,1999,Apr
75.5294,1999,May
53.1031,1999,Jun
111.303,1999,Jul
145.701,1999,Aug
100.307,1999,Sep
120.839,1999,Oct
12.9978,1999,Nov
6.20388,1999,Dec
2.26901,2000,Jan
0.49845,2000,Feb
10.59,2000,Mar
81.1774,2000,Apr
130.523,2000,May
79.746,2000,Jun
164.206,2000,Jul
149.718,2000,Aug
116.498,2000,Sep
63.866,2000,Oct
51.1347,2000,Nov
16.7958,2000,Dec
12.3076,2001,Jan
4.4416,2001,Feb
65.1514,2001,Mar
40.8506,2001,Apr
46.3422,2001,May
84.4669,2001,Jun
159.441,2001,Jul
148.938,2001,Aug
81.8167,2001,Sep
69.2379,2001,Oct
